country,club,city,year,trainer,points
Германия,Боруссия,Дортмунд,2004,Нико Ковач,75
Англия,Челси,Лондон,2003,Энцо Мареска,63
Испания,Барселона,Барселона,2001,Ханс‑Дитер Флик,2
Англия,Арсенал,Лондон,2021,Микель Артета,99
Испания,Барселона,Барселона,2004,Ханс‑Дитер Флик,59
Россия,ЦСКА,Москва,2002,Марко Николич,90
Италия,Милан,Милан,2024,Сержиу Консейсан,82
Испания,Барселона,Барселона,2003,Ханс‑Дитер Флик,58
Россия,Спартак,Москва,2018,Деян Станкович,45
Россия,Спартак,Москва,2002,Деян Станкович,100
Италия,Милан,Милан,2003,Сержиу Консейсан,0
Россия,ЦСКА,Москва,2017,Марко Николич,83
Испания,Барселона,Барселона,2010,Ханс‑Дитер Флик,16
Италия,Ювентус,Турин,2010,Игор Тудор,70
Италия,Интер,Милан,2006, Симоне Индзаги,33
Италия,Интер,Милан,2021, Симоне Индзаги,31
Россия,ЦСКА,Москва,2001,Марко Николич,74
Англия,Арсенал,Лондон,2015,Микель Артета,63
Италия,Ювентус,Турин,2012,Игор Тудор,88
Германия,Лейпциг,Лейпциг,2021,Жолт Лев,13
Англия,Челси,Лондон,2023,Энцо Мареска,52
Англия,Арсенал,Лондон,2006,Микель Артета,51
Германия,Лейпциг,Лейпциг,2001,Жолт Лев,45
Англия,Челси,Лондон,2017,Энцо Мареска,85
Испания,Реал Мадрид,Мадрид,2023,Карло Анчелотти,75
Россия,Спартак,Москва,2025,Деян Станкович,43
Германия,Бавария,Мюнхен,2019,Венсан Компани,36
Англия,Арсенал,Лондон,2020,Микель Артета,69
Англия,Манчестер Сити,Манчестер,2022,Пеп Гвардиола,29
Англия,Челси,Лондон,2018,Энцо Мареска,32
Германия,Бавария,Мюнхен,2009,Венсан Компани,89
Италия,Ювентус,Турин,2015,Игор Тудор,63
Германия,Лейпциг,Лейпциг,2021,Жолт Лев,25
Россия,ЦСКА,Москва,2008,Марко Николич,61
Германия,Бавария,Мюнхен,2006,Венсан Компани,56
Италия,Интер,Милан,2006, Симоне Индзаги,45
Италия,Ювентус,Турин,2016,Игор Тудор,63
Испания,Барселона,Барселона,2006,Ханс‑Дитер Флик,80
Испания,Атлетико,Мадрид,2013,Диего Симеоне,75
Англия,Челси,Лондон,2018,Энцо Мареска,89
Германия,Боруссия,Дортмунд,2017,Нико Ковач,35
Англия,Манчестер Сити,Манчестер,2023,Пеп Гвардиола,18
Англия,Челси,Лондон,2022,Энцо Мареска,29
Англия,Челси,Лондон,2016,Энцо Мареска,52
Германия,Лейпциг,Лейпциг,2001,Жолт Лев,61
Италия,Милан,Милан,2008,Сержиу Консейсан,48
Италия,Милан,Милан,2009,Сержиу Консейсан,32
Италия,Ювентус,Турин,2013,Игор Тудор,55
Россия,ЦСКА,Москва,2023,Марко Николич,35
Испания,Реал Мадрид,Мадрид,2009,Карло Анчелотти,21
Германия,Бавария,Мюнхен,2024,Венсан Компани,25
Испания,Барселона,Барселона,2024,Ханс‑Дитер Флик,9
Англия,Челси,Лондон,2014,Энцо Мареска,5
Англия,Челси,Лондон,2021,Энцо Мареска,32
Испания,Атлетико,Мадрид,2007,Диего Симеоне,56
Германия,Бавария,Мюнхен,2014,Венсан Компани,0
Италия,Интер,Милан,2002, Симоне Индзаги,87
Испания,Реал Мадрид,Мадрид,2018,Карло Анчелотти,25
Россия,ЦСКА,Москва,2005,Марко Николич,8
Германия,Бавария,Мюнхен,2015,Венсан Компани,7
Россия,Спартак,Москва,2015,Деян Станкович,94
Россия,ЦСКА,Москва,2013,Марко Николич,47
Испания,Барселона,Барселона,2025,Ханс‑Дитер Флик,67
Англия,Челси,Лондон,2000,Энцо Мареска,82
Италия,Ювентус,Турин,2011,Игор Тудор,90
Россия,ЦСКА,Москва,2023,Марко Николич,14
Англия,Челси,Лондон,2008,Энцо Мареска,64
Россия,Зенит,Санкт-Петербург,2023,Семак Сергей Богданович,77
Испания,Реал Мадрид,Мадрид,2013,Карло Анчелотти,37
Россия,Зенит,Санкт-Петербург,2012,Семак Сергей Богданович,99
Германия,Лейпциг,Лейпциг,2012,Жолт Лев,14
Англия,Арсенал,Лондон,2007,Микель Артета,17
Германия,Бавария,Мюнхен,2012,Венсан Компани,39
Германия,Бавария,Мюнхен,2013,Венсан Компани,99
Германия,Боруссия,Дортмунд,2015,Нико Ковач,92
Россия,ЦСКА,Москва,2010,Марко Николич,71
Россия,Спартак,Москва,2014,Деян Станкович,70
Италия,Ювентус,Турин,2009,Игор Тудор,66
Испания,Барселона,Барселона,2009,Ханс‑Дитер Флик,0
Италия,Милан,Милан,2008,Сержиу Консейсан,25
Россия,ЦСКА,Москва,2015,Марко Николич,18
Россия,ЦСКА,Москва,2007,Марко Николич,83
Россия,Спартак,Москва,2014,Деян Станкович,14
Германия,Бавария,Мюнхен,2010,Венсан Компани,84
Испания,Атлетико,Мадрид,2004,Диего Симеоне,59
Испания,Атлетико,Мадрид,2015,Диего Симеоне,51
Россия,Зенит,Санкт-Петербург,2024,Семак Сергей Богданович,84
Италия,Интер,Милан,2024, Симоне Индзаги,66
Испания,Барселона,Барселона,2005,Ханс‑Дитер Флик,59
Англия,Челси,Лондон,2005,Энцо Мареска,98
Англия,Челси,Лондон,2007,Энцо Мареска,82
Испания,Реал Мадрид,Мадрид,2002,Карло Анчелотти,92
Англия,Манчестер Сити,Манчестер,2025,Пеп Гвардиола,7
Испания,Барселона,Барселона,2016,Ханс‑Дитер Флик,72
Германия,Боруссия,Дортмунд,2003,Нико Ковач,68
Испания,Реал Мадрид,Мадрид,2019,Карло Анчелотти,99
Испания,Атлетико,Мадрид,2012,Диего Симеоне,50
Испания,Реал Мадрид,Мадрид,2004,Карло Анчелотти,3
Россия,Спартак,Москва,2001,Деян Станкович,33
Италия,Милан,Милан,2019,Сержиу Консейсан,11
Россия,Зенит,Санкт-Петербург,2016,Семак Сергей Богданович,78
Испания,Реал Мадрид,Мадрид,2006,Карло Анчелотти,8
Англия,Челси,Лондон,2013,Энцо Мареска,60
Англия,Манчестер Сити,Манчестер,2010,Пеп Гвардиола,88
Англия,Арсенал,Лондон,2014,Микель Артета,41
Россия,Спартак,Москва,2004,Деян Станкович,25
Испания,Реал Мадрид,Мадрид,2017,Карло Анчелотти,88
Англия,Арсенал,Лондон,2018,Микель Артета,34
Германия,Боруссия,Дортмунд,2008,Нико Ковач,30
Германия,Боруссия,Дортмунд,2011,Нико Ковач,34
Италия,Милан,Милан,2002,Сержиу Консейсан,37
Россия,ЦСКА,Москва,2007,Марко Николич,21
Россия,ЦСКА,Москва,2018,Марко Николич,25
Англия,Арсенал,Лондон,2018,Микель Артета,30
Италия,Милан,Милан,2019,Сержиу Консейсан,97
Россия,Зенит,Санкт-Петербург,2001,Семак Сергей Богданович,25
Россия,ЦСКА,Москва,2012,Марко Николич,94
Испания,Атлетико,Мадрид,2011,Диего Симеоне,13
Италия,Милан,Милан,2024,Сержиу Консейсан,64
Россия,Спартак,Москва,2020,Деян Станкович,60
Англия,Арсенал,Лондон,2009,Микель Артета,65
Россия,Спартак,Москва,2012,Деян Станкович,92
Германия,Бавария,Мюнхен,2017,Венсан Компани,49
Россия,Спартак,Москва,2023,Деян Станкович,3
Испания,Атлетико,Мадрид,2005,Диего Симеоне,17
Англия,Манчестер Сити,Манчестер,2008,Пеп Гвардиола,50
Англия,Арсенал,Лондон,2010,Микель Артета,30
Англия,Манчестер Сити,Манчестер,2007,Пеп Гвардиола,71
Испания,Атлетико,Мадрид,2011,Диего Симеоне,52
Германия,Бавария,Мюнхен,2016,Венсан Компани,100
Англия,Челси,Лондон,2010,Энцо Мареска,88
Италия,Интер,Милан,2012, Симоне Индзаги,17
Италия,Интер,Милан,2005, Симоне Индзаги,62
Италия,Милан,Милан,2018,Сержиу Консейсан,58
Россия,ЦСКА,Москва,2004,Марко Николич,43
Германия,Лейпциг,Лейпциг,2016,Жолт Лев,99
Италия,Милан,Милан,2024,Сержиу Консейсан,49
Россия,Спартак,Москва,2004,Деян Станкович,26
Англия,Челси,Лондон,2021,Энцо Мареска,88
Италия,Интер,Милан,2005, Симоне Индзаги,1
Германия,Бавария,Мюнхен,2014,Венсан Компани,87
Испания,Реал Мадрид,Мадрид,2017,Карло Анчелотти,19
Англия,Арсенал,Лондон,2012,Микель Артета,97
Испания,Реал Мадрид,Мадрид,2009,Карло Анчелотти,14
Россия,Зенит,Санкт-Петербург,2011,Семак Сергей Богданович,45
Испания,Атлетико,Мадрид,2006,Диего Симеоне,72
Испания,Барселона,Барселона,2004,Ханс‑Дитер Флик,67
Англия,Арсенал,Лондон,2025,Микель Артета,78
Россия,Зенит,Санкт-Петербург,2012,Семак Сергей Богданович,85
Испания,Атлетико,Мадрид,2015,Диего Симеоне,49
Англия,Манчестер Сити,Манчестер,2006,Пеп Гвардиола,89
Россия,Спартак,Москва,2025,Деян Станкович,62
Италия,Милан,Милан,2018,Сержиу Консейсан,8
Англия,Манчестер Сити,Манчестер,2019,Пеп Гвардиола,72
Россия,ЦСКА,Москва,2020,Марко Николич,31
Англия,Манчестер Сити,Манчестер,2000,Пеп Гвардиола,91
Россия,Спартак,Москва,2023,Деян Станкович,31
Россия,Зенит,Санкт-Петербург,2001,Семак Сергей Богданович,15
Германия,Лейпциг,Лейпциг,2000,Жолт Лев,53
Россия,ЦСКА,Москва,2024,Марко Николич,26
Испания,Барселона,Барселона,2015,Ханс‑Дитер Флик,38
Италия,Милан,Милан,2007,Сержиу Консейсан,71
Россия,Спартак,Москва,2009,Деян Станкович,40
Германия,Боруссия,Дортмунд,2015,Нико Ковач,30
Италия,Ювентус,Турин,2019,Игор Тудор,98
Англия,Манчестер Сити,Манчестер,2022,Пеп Гвардиола,63
Англия,Челси,Лондон,2020,Энцо Мареска,36
Италия,Интер,Милан,2012, Симоне Индзаги,70
Англия,Челси,Лондон,2012,Энцо Мареска,15
Германия,Лейпциг,Лейпциг,2023,Жолт Лев,35
Англия,Манчестер Сити,Манчестер,2001,Пеп Гвардиола,8
Германия,Бавария,Мюнхен,2015,Венсан Компани,47
Англия,Челси,Лондон,2004,Энцо Мареска,27
Италия,Ювентус,Турин,2020,Игор Тудор,31
Испания,Барселона,Барселона,2019,Ханс‑Дитер Флик,100
Испания,Атлетико,Мадрид,2007,Диего Симеоне,88
Россия,ЦСКА,Москва,2009,Марко Николич,92
Испания,Атлетико,Мадрид,2006,Диего Симеоне,58
Россия,Зенит,Санкт-Петербург,2024,Семак Сергей Богданович,55
Германия,Лейпциг,Лейпциг,2017,Жолт Лев,28
Италия,Милан,Милан,2011,Сержиу Консейсан,37
Испания,Реал Мадрид,Мадрид,2019,Карло Анчелотти,79
Англия,Манчестер Сити,Манчестер,2009,Пеп Гвардиола,61
Германия,Лейпциг,Лейпциг,2004,Жолт Лев,79
Италия,Ювентус,Турин,2003,Игор Тудор,100
Германия,Бавария,Мюнхен,2003,Венсан Компани,40
Германия,Лейпциг,Лейпциг,2016,Жолт Лев,73
Испания,Атлетико,Мадрид,2001,Диего Симеоне,77
Россия,Спартак,Москва,2001,Деян Станкович,16
Англия,Челси,Лондон,2023,Энцо Мареска,50
Англия,Арсенал,Лондон,2008,Микель Артета,30
Англия,Манчестер Сити,Манчестер,2013,Пеп Гвардиола,97
Испания,Барселона,Барселона,2005,Ханс‑Дитер Флик,85
Англия,Челси,Лондон,2014,Энцо Мареска,2
Испания,Барселона,Барселона,2011,Ханс‑Дитер Флик,73
Испания,Барселона,Барселона,2009,Ханс‑Дитер Флик,92
Германия,Лейпциг,Лейпциг,2020,Жолт Лев,87
Германия,Лейпциг,Лейпциг,2018,Жолт Лев,51
Испания,Барселона,Барселона,2017,Ханс‑Дитер Флик,37
Германия,Боруссия,Дортмунд,2020,Нико Ковач,30
Англия,Манчестер Сити,Манчестер,2008,Пеп Гвардиола,40
Англия,Манчестер Сити,Манчестер,2018,Пеп Гвардиола,98
Италия,Ювентус,Турин,2012,Игор Тудор,24
Россия,Зенит,Санкт-Петербург,2023,Семак Сергей Богданович,17
Германия,Бавария,Мюнхен,2024,Венсан Компани,99
Италия,Интер,Милан,2014, Симоне Индзаги,35
Англия,Манчестер Сити,Манчестер,2010,Пеп Гвардиола,25
Италия,Ювентус,Турин,2017,Игор Тудор,10
Испания,Барселона,Барселона,2001,Ханс‑Дитер Флик,23
Англия,Манчестер Сити,Манчестер,2021,Пеп Гвардиола,87
Россия,Спартак,Москва,2000,Деян Станкович,17
Россия,ЦСКА,Москва,2020,Марко Николич,57
Испания,Барселона,Барселона,2014,Ханс‑Дитер Флик,35
Англия,Арсенал,Лондон,2021,Микель Артета,40
Россия,Спартак,Москва,2019,Деян Станкович,14
Англия,Челси,Лондон,2010,Энцо Мареска,35
Испания,Реал Мадрид,Мадрид,2014,Карло Анчелотти,90
Испания,Реал Мадрид,Мадрид,2024,Карло Анчелотти,68
Англия,Арсенал,Лондон,2019,Микель Артета,56
Германия,Лейпциг,Лейпциг,2023,Жолт Лев,12
Англия,Челси,Лондон,2012,Энцо Мареска,45
Италия,Интер,Милан,2020, Симоне Индзаги,44
Англия,Челси,Лондон,2013,Энцо Мареска,50
Россия,Зенит,Санкт-Петербург,2011,Семак Сергей Богданович,36
Англия,Челси,Лондон,2024,Энцо Мареска,64
Германия,Лейпциг,Лейпциг,2011,Жолт Лев,55
Россия,Зенит,Санкт-Петербург,2014,Семак Сергей Богданович,16
Англия,Челси,Лондон,2017,Энцо Мареска,4
Россия,Зенит,Санкт-Петербург,2007,Семак Сергей Богданович,89
Италия,Милан,Милан,2023,Сержиу Консейсан,77
Англия,Арсенал,Лондон,2009,Микель Артета,36
Испания,Реал Мадрид,Мадрид,2011,Карло Анчелотти,96
Испания,Барселона,Барселона,2020,Ханс‑Дитер Флик,7
Италия,Ювентус,Турин,2001,Игор Тудор,59
Италия,Милан,Милан,2005,Сержиу Консейсан,7
Испания,Атлетико,Мадрид,2001,Диего Симеоне,29
Италия,Милан,Милан,2016,Сержиу Консейсан,52
Россия,Зенит,Санкт-Петербург,2000,Семак Сергей Богданович,36
Англия,Челси,Лондон,2020,Энцо Мареска,95
Испания,Атлетико,Мадрид,2007,Диего Симеоне,74
Италия,Милан,Милан,2018,Сержиу Консейсан,79
Англия,Манчестер Сити,Манчестер,2012,Пеп Гвардиола,71
Испания,Атлетико,Мадрид,2014,Диего Симеоне,65
Англия,Челси,Лондон,2006,Энцо Мареска,68
Испания,Барселона,Барселона,2012,Ханс‑Дитер Флик,76
Германия,Боруссия,Дортмунд,2018,Нико Ковач,30
Англия,Манчестер Сити,Манчестер,2020,Пеп Гвардиола,74
Испания,Реал Мадрид,Мадрид,2014,Карло Анчелотти,3
Россия,ЦСКА,Москва,2014,Марко Николич,35
Италия,Милан,Милан,2001,Сержиу Консейсан,54
Германия,Боруссия,Дортмунд,2021,Нико Ковач,13
Испания,Атлетико,Мадрид,2018,Диего Симеоне,7
Англия,Манчестер Сити,Манчестер,2000,Пеп Гвардиола,93
Англия,Арсенал,Лондон,2002,Микель Артета,47
Россия,Зенит,Санкт-Петербург,2012,Семак Сергей Богданович,11
Италия,Милан,Милан,2015,Сержиу Консейсан,46
Россия,ЦСКА,Москва,2022,Марко Николич,69
Англия,Арсенал,Лондон,2010,Микель Артета,22
Англия,Челси,Лондон,2001,Энцо Мареска,65
Россия,ЦСКА,Москва,2019,Марко Николич,41
Германия,Бавария,Мюнхен,2002,Венсан Компани,82
Италия,Ювентус,Турин,2022,Игор Тудор,57
Италия,Интер,Милан,2018, Симоне Индзаги,23
Испания,Реал Мадрид,Мадрид,2020,Карло Анчелотти,41
Англия,Арсенал,Лондон,2010,Микель Артета,51
Англия,Челси,Лондон,2007,Энцо Мареска,74
Россия,ЦСКА,Москва,2007,Марко Николич,89
Испания,Реал Мадрид,Мадрид,2003,Карло Анчелотти,21
Италия,Милан,Милан,2024,Сержиу Консейсан,92
Англия,Манчестер Сити,Манчестер,2010,Пеп Гвардиола,39
Испания,Атлетико,Мадрид,2008,Диего Симеоне,91
Испания,Реал Мадрид,Мадрид,2009,Карло Анчелотти,56
Германия,Бавария,Мюнхен,2009,Венсан Компани,64
Германия,Бавария,Мюнхен,2023,Венсан Компани,7
Германия,Лейпциг,Лейпциг,2009,Жолт Лев,74
Англия,Челси,Лондон,2002,Энцо Мареска,23
Англия,Манчестер Сити,Манчестер,2015,Пеп Гвардиола,10
Россия,Спартак,Москва,2002,Деян Станкович,55
Россия,Зенит,Санкт-Петербург,2003,Семак Сергей Богданович,60
Испания,Атлетико,Мадрид,2009,Диего Симеоне,70
Германия,Лейпциг,Лейпциг,2010,Жолт Лев,5
Германия,Бавария,Мюнхен,2001,Венсан Компани,97
Россия,Спартак,Москва,2002,Деян Станкович,55
Италия,Интер,Милан,2011, Симоне Индзаги,1
Германия,Боруссия,Дортмунд,2024,Нико Ковач,95
Германия,Боруссия,Дортмунд,2025,Нико Ковач,11
Англия,Манчестер Сити,Манчестер,2019,Пеп Гвардиола,82
Испания,Реал Мадрид,Мадрид,2024,Карло Анчелотти,32
Россия,Спартак,Москва,2018,Деян Станкович,64
Испания,Атлетико,Мадрид,2002,Диего Симеоне,30
Германия,Бавария,Мюнхен,2011,Венсан Компани,9
Англия,Арсенал,Лондон,2009,Микель Артета,25
Германия,Боруссия,Дортмунд,2024,Нико Ковач,31
Россия,ЦСКА,Москва,2009,Марко Николич,82
Англия,Арсенал,Лондон,2004,Микель Артета,21
Англия,Манчестер Сити,Манчестер,2014,Пеп Гвардиола,41
Италия,Интер,Милан,2004, Симоне Индзаги,63
Россия,Зенит,Санкт-Петербург,2021,Семак Сергей Богданович,36
Россия,Спартак,Москва,2002,Деян Станкович,97
Россия,Зенит,Санкт-Петербург,2024,Семак Сергей Богданович,68
Россия,Зенит,Санкт-Петербург,2023,Семак Сергей Богданович,31
Англия,Манчестер Сити,Манчестер,2021,Пеп Гвардиола,39
Испания,Атлетико,Мадрид,2022,Диего Симеоне,98
Испания,Реал Мадрид,Мадрид,2004,Карло Анчелотти,2
Англия,Манчестер Сити,Манчестер,2014,Пеп Гвардиола,7
Италия,Интер,Милан,2009, Симоне Индзаги,88
Англия,Челси,Лондон,2024,Энцо Мареска,37
Испания,Атлетико,Мадрид,2001,Диего Симеоне,84
Россия,Спартак,Москва,2006,Деян Станкович,43
Россия,Спартак,Москва,2002,Деян Станкович,80
Испания,Барселона,Барселона,2023,Ханс‑Дитер Флик,15
Германия,Боруссия,Дортмунд,2019,Нико Ковач,69
Италия,Ювентус,Турин,2025,Игор Тудор,82
Россия,Зенит,Санкт-Петербург,2013,Семак Сергей Богданович,27
Германия,Боруссия,Дортмунд,2020,Нико Ковач,43
Россия,Спартак,Москва,2020,Деян Станкович,58
Италия,Милан,Милан,2001,Сержиу Консейсан,69
Испания,Барселона,Барселона,2003,Ханс‑Дитер Флик,42
Италия,Ювентус,Турин,2023,Игор Тудор,65
Англия,Арсенал,Лондон,2025,Микель Артета,35
Италия,Милан,Милан,2025,Сержиу Консейсан,71
Россия,Зенит,Санкт-Петербург,2004,Семак Сергей Богданович,56
Англия,Манчестер Сити,Манчестер,2022,Пеп Гвардиола,17
Россия,Зенит,Санкт-Петербург,2002,Семак Сергей Богданович,71
Испания,Барселона,Барселона,2019,Ханс‑Дитер Флик,73
Испания,Реал Мадрид,Мадрид,2002,Карло Анчелотти,96
Германия,Бавария,Мюнхен,2021,Венсан Компани,5
Испания,Атлетико,Мадрид,2006,Диего Симеоне,76
Англия,Манчестер Сити,Манчестер,2008,Пеп Гвардиола,89
Англия,Челси,Лондон,2003,Энцо Мареска,45
Италия,Милан,Милан,2011,Сержиу Консейсан,39
Германия,Лейпциг,Лейпциг,2016,Жолт Лев,7
Россия,Зенит,Санкт-Петербург,2004,Семак Сергей Богданович,15
Англия,Арсенал,Лондон,2022,Микель Артета,98
Германия,Бавария,Мюнхен,2007,Венсан Компани,97
Россия,Спартак,Москва,2007,Деян Станкович,81
Россия,ЦСКА,Москва,2002,Марко Николич,76
Испания,Барселона,Барселона,2015,Ханс‑Дитер Флик,32
Англия,Челси,Лондон,2014,Энцо Мареска,32
Италия,Милан,Милан,2004,Сержиу Консейсан,54
Германия,Бавария,Мюнхен,2023,Венсан Компани,86
Италия,Ювентус,Турин,2003,Игор Тудор,27
Россия,Зенит,Санкт-Петербург,2007,Семак Сергей Богданович,64
Россия,ЦСКА,Москва,2001,Марко Николич,74
Англия,Арсенал,Лондон,2024,Микель Артета,60
Германия,Лейпциг,Лейпциг,2000,Жолт Лев,79
Англия,Манчестер Сити,Манчестер,2016,Пеп Гвардиола,79
Россия,Зенит,Санкт-Петербург,2000,Семак Сергей Богданович,89
Германия,Бавария,Мюнхен,2003,Венсан Компани,2
Россия,Зенит,Санкт-Петербург,2011,Семак Сергей Богданович,6
Испания,Атлетико,Мадрид,2000,Диего Симеоне,83
Испания,Атлетико,Мадрид,2004,Диего Симеоне,58
Германия,Лейпциг,Лейпциг,2024,Жолт Лев,66
Германия,Боруссия,Дортмунд,2025,Нико Ковач,97
Германия,Бавария,Мюнхен,2019,Венсан Компани,4
Россия,Спартак,Москва,2015,Деян Станкович,28
Германия,Бавария,Мюнхен,2018,Венсан Компани,92
Италия,Милан,Милан,2013,Сержиу Консейсан,5
Испания,Атлетико,Мадрид,2004,Диего Симеоне,69
Испания,Атлетико,Мадрид,2000,Диего Симеоне,24
Англия,Манчестер Сити,Манчестер,2010,Пеп Гвардиола,79
Англия,Манчестер Сити,Манчестер,2002,Пеп Гвардиола,53
Англия,Арсенал,Лондон,2021,Микель Артета,75
Германия,Лейпциг,Лейпциг,2006,Жолт Лев,17
Россия,ЦСКА,Москва,2015,Марко Николич,51
Россия,Зенит,Санкт-Петербург,2013,Семак Сергей Богданович,86
Германия,Бавария,Мюнхен,2017,Венсан Компани,30
Испания,Реал Мадрид,Мадрид,2018,Карло Анчелотти,68
Италия,Ювентус,Турин,2015,Игор Тудор,70
