country,club,city,year,trainer,points
Англия,Манчестер Сити,Манчестер,2006,Пеп Гвардиола,15
Германия,Лейпциг,Лейпциг,2014,Жолт Лев,17
Англия,Арсенал,Лондон,2017,Микель Артета,53
Италия,Ювентус,Турин,2003,Игор Тудор,76
Германия,Лейпциг,Лейпциг,2015,Жолт Лев,72
Англия,Челси,Лондон,2003,Энцо Мареска,65
Россия,ЦСКА,Москва,2016,Марко Николич,87
Испания,Реал Мадрид,Мадрид,2004,Карло Анчелотти,40
Англия,Манчестер Сити,Манчестер,2006,Пеп Гвардиола,13
Англия,Челси,Лондон,2010,Энцо Мареска,4
Англия,Арсенал,Лондон,2008,Микель Артета,79
Англия,Манчестер Сити,Манчестер,2002,Пеп Гвардиола,89
Россия,ЦСКА,Москва,2017,Марко Николич,81
Испания,Реал Мадрид,Мадрид,2023,Карло Анчелотти,19
Германия,Лейпциг,Лейпциг,2015,Жолт Лев,26
Испания,Атлетико,Мадрид,2007,Диего Симеоне,99
Италия,Милан,Милан,2013,Сержиу Консейсан,6
Россия,Спартак,Москва,2006,Деян Станкович,16
Россия,Зенит,Санкт-Петербург,2023,Семак Сергей Богданович,61
Италия,Милан,Милан,2011,Сержиу Консейсан,62
Испания,Барселона,Барселона,2004,Ханс‑Дитер Флик,95
Россия,ЦСКА,Москва,2009,Марко Николич,15
Италия,Милан,Милан,2005,Сержиу Консейсан,88
Россия,Спартак,Москва,2016,Деян Станкович,97
Англия,Арсенал,Лондон,2024,Микель Артета,85
Англия,Арсенал,Лондон,2013,Микель Артета,46
Испания,Барселона,Барселона,2013,Ханс‑Дитер Флик,54
Германия,Лейпциг,Лейпциг,2002,Жолт Лев,69
Англия,Манчестер Сити,Манчестер,2019,Пеп Гвардиола,99
Италия,Интер,Милан,2016, Симоне Индзаги,37
Россия,Зенит,Санкт-Петербург,2024,Семак Сергей Богданович,35
Испания,Атлетико,Мадрид,2025,Диего Симеоне,3
Россия,Спартак,Москва,2006,Деян Станкович,42
Англия,Челси,Лондон,2023,Энцо Мареска,10
Англия,Арсенал,Лондон,2008,Микель Артета,20
Россия,Зенит,Санкт-Петербург,2022,Семак Сергей Богданович,11
Германия,Лейпциг,Лейпциг,2024,Жолт Лев,67
Испания,Барселона,Барселона,2017,Ханс‑Дитер Флик,75
Россия,Спартак,Москва,2024,Деян Станкович,87
Германия,Лейпциг,Лейпциг,2007,Жолт Лев,53
Россия,Спартак,Москва,2008,Деян Станкович,6
Россия,ЦСКА,Москва,2024,Марко Николич,78
Германия,Лейпциг,Лейпциг,2018,Жолт Лев,90
Испания,Барселона,Барселона,2024,Ханс‑Дитер Флик,62
Германия,Бавария,Мюнхен,2002,Венсан Компани,94
Россия,Зенит,Санкт-Петербург,2011,Семак Сергей Богданович,26
Италия,Ювентус,Турин,2005,Игор Тудор,42
Испания,Атлетико,Мадрид,2002,Диего Симеоне,94
Германия,Бавария,Мюнхен,2016,Венсан Компани,7
Англия,Челси,Лондон,2010,Энцо Мареска,86
Англия,Арсенал,Лондон,2017,Микель Артета,5
Англия,Челси,Лондон,2003,Энцо Мареска,35
Англия,Арсенал,Лондон,2002,Микель Артета,59
Испания,Барселона,Барселона,2020,Ханс‑Дитер Флик,66
Германия,Бавария,Мюнхен,2020,Венсан Компани,47
Испания,Барселона,Барселона,2001,Ханс‑Дитер Флик,55
Италия,Ювентус,Турин,2010,Игор Тудор,71
Германия,Бавария,Мюнхен,2021,Венсан Компани,18
Германия,Боруссия,Дортмунд,2024,Нико Ковач,25
Италия,Интер,Милан,2017, Симоне Индзаги,35
Англия,Челси,Лондон,2022,Энцо Мареска,16
Англия,Челси,Лондон,2016,Энцо Мареска,95
Италия,Интер,Милан,2001, Симоне Индзаги,2
Англия,Челси,Лондон,2012,Энцо Мареска,77
Германия,Боруссия,Дортмунд,2005,Нико Ковач,25
Россия,ЦСКА,Москва,2008,Марко Николич,89
Россия,Зенит,Санкт-Петербург,2025,Семак Сергей Богданович,2
Германия,Лейпциг,Лейпциг,2001,Жолт Лев,87
Германия,Лейпциг,Лейпциг,2006,Жолт Лев,13
Испания,Барселона,Барселона,2015,Ханс‑Дитер Флик,11
Испания,Атлетико,Мадрид,2004,Диего Симеоне,28
Италия,Ювентус,Турин,2003,Игор Тудор,7
Италия,Милан,Милан,2005,Сержиу Консейсан,42
Италия,Милан,Милан,2015,Сержиу Консейсан,21
Германия,Бавария,Мюнхен,2005,Венсан Компани,77
Россия,Зенит,Санкт-Петербург,2002,Семак Сергей Богданович,89
Германия,Лейпциг,Лейпциг,2016,Жолт Лев,31
Италия,Ювентус,Турин,2015,Игор Тудор,41
Россия,Спартак,Москва,2018,Деян Станкович,44
Англия,Арсенал,Лондон,2000,Микель Артета,78
Англия,Челси,Лондон,2013,Энцо Мареска,67
Англия,Манчестер Сити,Манчестер,2007,Пеп Гвардиола,13
Россия,Спартак,Москва,2024,Деян Станкович,53
Англия,Манчестер Сити,Манчестер,2017,Пеп Гвардиола,64
Россия,Зенит,Санкт-Петербург,2016,Семак Сергей Богданович,57
Германия,Лейпциг,Лейпциг,2003,Жолт Лев,49
Италия,Интер,Милан,2003, Симоне Индзаги,90
Россия,Зенит,Санкт-Петербург,2024,Семак Сергей Богданович,55
Италия,Ювентус,Турин,2003,Игор Тудор,69
Англия,Арсенал,Лондон,2003,Микель Артета,56
Россия,Зенит,Санкт-Петербург,2008,Семак Сергей Богданович,56
Испания,Реал Мадрид,Мадрид,2009,Карло Анчелотти,9
Испания,Атлетико,Мадрид,2015,Диего Симеоне,83
Испания,Атлетико,Мадрид,2017,Диего Симеоне,11
Испания,Атлетико,Мадрид,2002,Диего Симеоне,48
Германия,Лейпциг,Лейпциг,2009,Жолт Лев,13
Россия,ЦСКА,Москва,2001,Марко Николич,56
Испания,Барселона,Барселона,2002,Ханс‑Дитер Флик,8
Испания,Барселона,Барселона,2009,Ханс‑Дитер Флик,49
Испания,Реал Мадрид,Мадрид,2002,Карло Анчелотти,1
Германия,Бавария,Мюнхен,2023,Венсан Компани,79
Германия,Бавария,Мюнхен,2011,Венсан Компани,48
Германия,Бавария,Мюнхен,2013,Венсан Компани,45
Англия,Челси,Лондон,2023,Энцо Мареска,88
Германия,Бавария,Мюнхен,2015,Венсан Компани,22
Испания,Атлетико,Мадрид,2014,Диего Симеоне,2
Испания,Реал Мадрид,Мадрид,2012,Карло Анчелотти,44
Германия,Боруссия,Дортмунд,2024,Нико Ковач,42
Германия,Лейпциг,Лейпциг,2000,Жолт Лев,23
Германия,Боруссия,Дортмунд,2017,Нико Ковач,81
Испания,Барселона,Барселона,2008,Ханс‑Дитер Флик,57
Испания,Реал Мадрид,Мадрид,2006,Карло Анчелотти,95
Англия,Манчестер Сити,Манчестер,2012,Пеп Гвардиола,29
Германия,Лейпциг,Лейпциг,2001,Жолт Лев,10
Англия,Манчестер Сити,Манчестер,2022,Пеп Гвардиола,30
Россия,Спартак,Москва,2025,Деян Станкович,89
Россия,ЦСКА,Москва,2001,Марко Николич,80
Испания,Атлетико,Мадрид,2007,Диего Симеоне,74
Италия,Интер,Милан,2011, Симоне Индзаги,39
Испания,Реал Мадрид,Мадрид,2006,Карло Анчелотти,16
Германия,Боруссия,Дортмунд,2007,Нико Ковач,88
Испания,Атлетико,Мадрид,2013,Диего Симеоне,86
Италия,Ювентус,Турин,2002,Игор Тудор,99
