country,club,city,year,trainer,points
Германия,Боруссия,Дортмунд,2004,Нико Ковач,35
Англия,Манчестер Сити,Манчестер,2017,Пеп Гвардиола,62
Россия,Спартак,Москва,2005,Деян Станкович,17
Испания,Атлетико,Мадрид,2015,Диего Симеоне,57
Германия,Боруссия,Дортмунд,2010,Нико Ковач,10
Италия,Ювентус,Турин,2012,Игор Тудор,98
Россия,Зенит,Санкт-Петербург,2022,Семак Сергей Богданович,83
Италия,Милан,Милан,2018,Сержиу Консейсан,87
Германия,Лейпциг,Лейпциг,2003,Жолт Лев,61
Испания,Барселона,Барселона,2021,Ханс‑Дитер Флик,80
Испания,Реал Мадрид,Мадрид,2016,Карло Анчелотти,70
Германия,Бавария,Мюнхен,2018,Венсан Компани,9
Испания,Реал Мадрид,Мадрид,2016,Карло Анчелотти,6
Германия,Лейпциг,Лейпциг,2016,Жолт Лев,86
Италия,Ювентус,Турин,2004,Игор Тудор,32
Россия,Спартак,Москва,2015,Деян Станкович,71
Испания,Атлетико,Мадрид,2019,Диего Симеоне,21
Италия,Ювентус,Турин,2022,Игор Тудор,23
Испания,Реал Мадрид,Мадрид,2001,Карло Анчелотти,84
Россия,ЦСКА,Москва,2011,Марко Николич,28
Россия,Зенит,Санкт-Петербург,2020,Семак Сергей Богданович,64
Россия,Зенит,Санкт-Петербург,2003,Семак Сергей Богданович,45
Италия,Интер,Милан,2018, Симоне Индзаги,81
Италия,Интер,Милан,2018, Симоне Индзаги,60
Англия,Челси,Лондон,2013,Энцо Мареска,28
Россия,Спартак,Москва,2010,Деян Станкович,26
Россия,Зенит,Санкт-Петербург,2022,Семак Сергей Богданович,4
Италия,Интер,Милан,2018, Симоне Индзаги,68
Германия,Боруссия,Дортмунд,2004,Нико Ковач,60
Испания,Реал Мадрид,Мадрид,2008,Карло Анчелотти,84
Италия,Милан,Милан,2024,Сержиу Консейсан,24
Германия,Лейпциг,Лейпциг,2022,Жолт Лев,72
Англия,Манчестер Сити,Манчестер,2004,Пеп Гвардиола,90
Испания,Реал Мадрид,Мадрид,2006,Карло Анчелотти,97
Испания,Реал Мадрид,Мадрид,2000,Карло Анчелотти,9
Италия,Интер,Милан,2009, Симоне Индзаги,55
Испания,Барселона,Барселона,2007,Ханс‑Дитер Флик,95
Испания,Атлетико,Мадрид,2013,Диего Симеоне,94
Италия,Милан,Милан,2025,Сержиу Консейсан,27
Италия,Милан,Милан,2020,Сержиу Консейсан,24
Испания,Реал Мадрид,Мадрид,2019,Карло Анчелотти,70
Россия,Зенит,Санкт-Петербург,2010,Семак Сергей Богданович,97
Германия,Лейпциг,Лейпциг,2011,Жолт Лев,59
Италия,Милан,Милан,2022,Сержиу Консейсан,14
Россия,Спартак,Москва,2009,Деян Станкович,53
Германия,Бавария,Мюнхен,2001,Венсан Компани,85
Англия,Челси,Лондон,2005,Энцо Мареска,51
Россия,ЦСКА,Москва,2008,Марко Николич,77
Италия,Ювентус,Турин,2009,Игор Тудор,37
Англия,Манчестер Сити,Манчестер,2008,Пеп Гвардиола,55
Россия,Зенит,Санкт-Петербург,2009,Семак Сергей Богданович,10
Россия,ЦСКА,Москва,2023,Марко Николич,47
Россия,Спартак,Москва,2002,Деян Станкович,85
Россия,Зенит,Санкт-Петербург,2016,Семак Сергей Богданович,83
Германия,Бавария,Мюнхен,2001,Венсан Компани,51
Испания,Барселона,Барселона,2024,Ханс‑Дитер Флик,19
Италия,Интер,Милан,2025, Симоне Индзаги,60
Россия,Зенит,Санкт-Петербург,2013,Семак Сергей Богданович,32
Италия,Милан,Милан,2006,Сержиу Консейсан,86
Россия,ЦСКА,Москва,2022,Марко Николич,25
Россия,Спартак,Москва,2009,Деян Станкович,89
Англия,Манчестер Сити,Манчестер,2003,Пеп Гвардиола,29
Италия,Ювентус,Турин,2019,Игор Тудор,1
Испания,Атлетико,Мадрид,2015,Диего Симеоне,31
Испания,Реал Мадрид,Мадрид,2015,Карло Анчелотти,38
Россия,ЦСКА,Москва,2010,Марко Николич,23
Россия,Спартак,Москва,2014,Деян Станкович,90
Россия,Спартак,Москва,2011,Деян Станкович,25
Россия,Спартак,Москва,2005,Деян Станкович,81
Испания,Атлетико,Мадрид,2007,Диего Симеоне,71
Германия,Боруссия,Дортмунд,2020,Нико Ковач,82
Италия,Милан,Милан,2006,Сержиу Консейсан,71
Испания,Реал Мадрид,Мадрид,2014,Карло Анчелотти,32
Германия,Боруссия,Дортмунд,2000,Нико Ковач,82
Англия,Челси,Лондон,2012,Энцо Мареска,34
Испания,Атлетико,Мадрид,2000,Диего Симеоне,94
Испания,Атлетико,Мадрид,2006,Диего Симеоне,20
Италия,Милан,Милан,2018,Сержиу Консейсан,44
Испания,Барселона,Барселона,2010,Ханс‑Дитер Флик,78
Англия,Манчестер Сити,Манчестер,2013,Пеп Гвардиола,72
Россия,ЦСКА,Москва,2007,Марко Николич,73
Италия,Ювентус,Турин,2001,Игор Тудор,54
Англия,Манчестер Сити,Манчестер,2008,Пеп Гвардиола,83
Россия,Зенит,Санкт-Петербург,2010,Семак Сергей Богданович,59
Италия,Интер,Милан,2021, Симоне Индзаги,21
Германия,Боруссия,Дортмунд,2024,Нико Ковач,35
Испания,Атлетико,Мадрид,2025,Диего Симеоне,9
Германия,Лейпциг,Лейпциг,2008,Жолт Лев,4
Италия,Интер,Милан,2025, Симоне Индзаги,1
Италия,Ювентус,Турин,2021,Игор Тудор,43
Россия,ЦСКА,Москва,2016,Марко Николич,9
Италия,Интер,Милан,2001, Симоне Индзаги,83
Италия,Интер,Милан,2016, Симоне Индзаги,75
Испания,Барселона,Барселона,2003,Ханс‑Дитер Флик,77
Германия,Бавария,Мюнхен,2024,Венсан Компани,31
Испания,Реал Мадрид,Мадрид,2017,Карло Анчелотти,71
Испания,Реал Мадрид,Мадрид,2011,Карло Анчелотти,44
Германия,Бавария,Мюнхен,2006,Венсан Компани,58
Испания,Барселона,Барселона,2022,Ханс‑Дитер Флик,5
Англия,Челси,Лондон,2024,Энцо Мареска,5
Англия,Арсенал,Лондон,2002,Микель Артета,56
Испания,Атлетико,Мадрид,2021,Диего Симеоне,75
Англия,Челси,Лондон,2019,Энцо Мареска,3
Германия,Боруссия,Дортмунд,2008,Нико Ковач,29
Англия,Арсенал,Лондон,2005,Микель Артета,53
Россия,Спартак,Москва,2008,Деян Станкович,67
Англия,Арсенал,Лондон,2019,Микель Артета,91
Италия,Интер,Милан,2015, Симоне Индзаги,21
Россия,ЦСКА,Москва,2004,Марко Николич,85
Италия,Ювентус,Турин,2000,Игор Тудор,92
Англия,Манчестер Сити,Манчестер,2020,Пеп Гвардиола,69
Германия,Лейпциг,Лейпциг,2012,Жолт Лев,80
Россия,Зенит,Санкт-Петербург,2007,Семак Сергей Богданович,64
Англия,Арсенал,Лондон,2007,Микель Артета,38
Россия,Спартак,Москва,2022,Деян Станкович,53
Россия,ЦСКА,Москва,2003,Марко Николич,51
Россия,ЦСКА,Москва,2019,Марко Николич,74
Италия,Ювентус,Турин,2010,Игор Тудор,96
Германия,Боруссия,Дортмунд,2016,Нико Ковач,77
Италия,Интер,Милан,2009, Симоне Индзаги,30
Россия,ЦСКА,Москва,2005,Марко Николич,9
Испания,Барселона,Барселона,2019,Ханс‑Дитер Флик,17
Англия,Арсенал,Лондон,2012,Микель Артета,40
Англия,Челси,Лондон,2002,Энцо Мареска,29
Испания,Атлетико,Мадрид,2023,Диего Симеоне,33
Англия,Челси,Лондон,2025,Энцо Мареска,49
Англия,Челси,Лондон,2020,Энцо Мареска,21
Англия,Арсенал,Лондон,2012,Микель Артета,72
Россия,ЦСКА,Москва,2022,Марко Николич,10
Италия,Интер,Милан,2023, Симоне Индзаги,24
Испания,Барселона,Барселона,2022,Ханс‑Дитер Флик,43
Испания,Барселона,Барселона,2014,Ханс‑Дитер Флик,13
Англия,Арсенал,Лондон,2019,Микель Артета,78
Испания,Атлетико,Мадрид,2019,Диего Симеоне,74
Англия,Арсенал,Лондон,2007,Микель Артета,67
Англия,Манчестер Сити,Манчестер,2014,Пеп Гвардиола,49
Италия,Милан,Милан,2006,Сержиу Консейсан,80
Испания,Реал Мадрид,Мадрид,2014,Карло Анчелотти,49
Англия,Манчестер Сити,Манчестер,2000,Пеп Гвардиола,65
Англия,Арсенал,Лондон,2013,Микель Артета,40
Германия,Бавария,Мюнхен,2010,Венсан Компани,1
Испания,Реал Мадрид,Мадрид,2019,Карло Анчелотти,67
Россия,Спартак,Москва,2003,Деян Станкович,70
Англия,Манчестер Сити,Манчестер,2020,Пеп Гвардиола,27
Англия,Арсенал,Лондон,2002,Микель Артета,68
Англия,Арсенал,Лондон,2024,Микель Артета,74
Россия,ЦСКА,Москва,2001,Марко Николич,41
Германия,Боруссия,Дортмунд,2008,Нико Ковач,85
Англия,Челси,Лондон,2011,Энцо Мареска,34
Испания,Реал Мадрид,Мадрид,2004,Карло Анчелотти,53
Германия,Лейпциг,Лейпциг,2014,Жолт Лев,44
Англия,Челси,Лондон,2006,Энцо Мареска,40
Россия,Зенит,Санкт-Петербург,2000,Семак Сергей Богданович,44
Англия,Арсенал,Лондон,2005,Микель Артета,80
Англия,Арсенал,Лондон,2002,Микель Артета,29
Германия,Лейпциг,Лейпциг,2016,Жолт Лев,35
Россия,ЦСКА,Москва,2000,Марко Николич,23
Англия,Манчестер Сити,Манчестер,2015,Пеп Гвардиола,70
Испания,Барселона,Барселона,2021,Ханс‑Дитер Флик,52
Германия,Бавария,Мюнхен,2011,Венсан Компани,23
Германия,Боруссия,Дортмунд,2023,Нико Ковач,48
Италия,Милан,Милан,2006,Сержиу Консейсан,33
Англия,Челси,Лондон,2007,Энцо Мареска,16
Испания,Барселона,Барселона,2010,Ханс‑Дитер Флик,42
Россия,ЦСКА,Москва,2000,Марко Николич,36
Испания,Барселона,Барселона,2006,Ханс‑Дитер Флик,66
Россия,Спартак,Москва,2021,Деян Станкович,17
Англия,Манчестер Сити,Манчестер,2020,Пеп Гвардиола,62
Англия,Манчестер Сити,Манчестер,2016,Пеп Гвардиола,88
Англия,Манчестер Сити,Манчестер,2006,Пеп Гвардиола,88
Испания,Барселона,Барселона,2023,Ханс‑Дитер Флик,72
Испания,Барселона,Барселона,2010,Ханс‑Дитер Флик,15
Россия,ЦСКА,Москва,2009,Марко Николич,6
Англия,Челси,Лондон,2016,Энцо Мареска,16
Германия,Бавария,Мюнхен,2021,Венсан Компани,32
Испания,Барселона,Барселона,2000,Ханс‑Дитер Флик,35
Россия,Спартак,Москва,2015,Деян Станкович,31
Испания,Атлетико,Мадрид,2018,Диего Симеоне,79
Англия,Манчестер Сити,Манчестер,2021,Пеп Гвардиола,90
Англия,Арсенал,Лондон,2007,Микель Артета,42
Испания,Реал Мадрид,Мадрид,2002,Карло Анчелотти,7
Россия,Спартак,Москва,2008,Деян Станкович,47
Испания,Барселона,Барселона,2002,Ханс‑Дитер Флик,59
Италия,Интер,Милан,2016, Симоне Индзаги,85
Германия,Лейпциг,Лейпциг,2012,Жолт Лев,32
Испания,Реал Мадрид,Мадрид,2010,Карло Анчелотти,12
Англия,Арсенал,Лондон,2015,Микель Артета,35
Россия,Зенит,Санкт-Петербург,2023,Семак Сергей Богданович,81
Италия,Интер,Милан,2015, Симоне Индзаги,20
Англия,Арсенал,Лондон,2002,Микель Артета,65
Испания,Атлетико,Мадрид,2023,Диего Симеоне,54
Германия,Боруссия,Дортмунд,2012,Нико Ковач,76
Италия,Ювентус,Турин,2024,Игор Тудор,51
Италия,Ювентус,Турин,2019,Игор Тудор,80
Германия,Лейпциг,Лейпциг,2009,Жолт Лев,11
Россия,Зенит,Санкт-Петербург,2023,Семак Сергей Богданович,1
Россия,ЦСКА,Москва,2002,Марко Николич,94
Англия,Манчестер Сити,Манчестер,2022,Пеп Гвардиола,45
Германия,Лейпциг,Лейпциг,2017,Жолт Лев,79
Россия,ЦСКА,Москва,2001,Марко Николич,90
Испания,Атлетико,Мадрид,2019,Диего Симеоне,17
Англия,Манчестер Сити,Манчестер,2013,Пеп Гвардиола,100
Россия,Спартак,Москва,2021,Деян Станкович,82
Германия,Бавария,Мюнхен,2003,Венсан Компани,34
Италия,Ювентус,Турин,2016,Игор Тудор,22
Германия,Бавария,Мюнхен,2017,Венсан Компани,7
Англия,Манчестер Сити,Манчестер,2022,Пеп Гвардиола,73
Италия,Ювентус,Турин,2009,Игор Тудор,58
Испания,Атлетико,Мадрид,2000,Диего Симеоне,71
Испания,Реал Мадрид,Мадрид,2020,Карло Анчелотти,52
Россия,Спартак,Москва,2019,Деян Станкович,14
Германия,Боруссия,Дортмунд,2001,Нико Ковач,24
Англия,Арсенал,Лондон,2014,Микель Артета,29
Испания,Атлетико,Мадрид,2022,Диего Симеоне,75
Италия,Интер,Милан,2014, Симоне Индзаги,17
Россия,Зенит,Санкт-Петербург,2025,Семак Сергей Богданович,59
Италия,Интер,Милан,2008, Симоне Индзаги,44
Италия,Ювентус,Турин,2020,Игор Тудор,86
Англия,Челси,Лондон,2022,Энцо Мареска,84
Испания,Атлетико,Мадрид,2005,Диего Симеоне,25
Англия,Манчестер Сити,Манчестер,2010,Пеп Гвардиола,64
Испания,Барселона,Барселона,2002,Ханс‑Дитер Флик,12
Италия,Милан,Милан,2014,Сержиу Консейсан,71
Германия,Бавария,Мюнхен,2025,Венсан Компани,44
Италия,Ювентус,Турин,2015,Игор Тудор,56
Италия,Интер,Милан,2022, Симоне Индзаги,4
Италия,Интер,Милан,2001, Симоне Индзаги,6
Испания,Реал Мадрид,Мадрид,2011,Карло Анчелотти,78
Россия,ЦСКА,Москва,2019,Марко Николич,12
Россия,Спартак,Москва,2003,Деян Станкович,74
Италия,Милан,Милан,2008,Сержиу Консейсан,54
Англия,Челси,Лондон,2016,Энцо Мареска,61
Россия,Зенит,Санкт-Петербург,2016,Семак Сергей Богданович,61
Италия,Милан,Милан,2009,Сержиу Консейсан,54
Италия,Милан,Милан,2000,Сержиу Консейсан,44
Россия,ЦСКА,Москва,2019,Марко Николич,48
Россия,Спартак,Москва,2002,Деян Станкович,6
Германия,Бавария,Мюнхен,2016,Венсан Компани,98
Германия,Лейпциг,Лейпциг,2012,Жолт Лев,15
Испания,Атлетико,Мадрид,2003,Диего Симеоне,69
Испания,Атлетико,Мадрид,2021,Диего Симеоне,59
Испания,Атлетико,Мадрид,2016,Диего Симеоне,73
Англия,Манчестер Сити,Манчестер,2017,Пеп Гвардиола,22
Испания,Атлетико,Мадрид,2019,Диего Симеоне,30
Англия,Арсенал,Лондон,2005,Микель Артета,37
Испания,Атлетико,Мадрид,2018,Диего Симеоне,8
Испания,Реал Мадрид,Мадрид,2010,Карло Анчелотти,60
Германия,Бавария,Мюнхен,2022,Венсан Компани,97
Италия,Интер,Милан,2009, Симоне Индзаги,76
Россия,Зенит,Санкт-Петербург,2020,Семак Сергей Богданович,42
Англия,Челси,Лондон,2003,Энцо Мареска,66
Италия,Ювентус,Турин,2024,Игор Тудор,42
Испания,Реал Мадрид,Мадрид,2020,Карло Анчелотти,58
Англия,Арсенал,Лондон,2016,Микель Артета,70
Англия,Манчестер Сити,Манчестер,2001,Пеп Гвардиола,13
Испания,Барселона,Барселона,2025,Ханс‑Дитер Флик,8
Испания,Реал Мадрид,Мадрид,2018,Карло Анчелотти,69
Испания,Атлетико,Мадрид,2022,Диего Симеоне,50
Италия,Ювентус,Турин,2009,Игор Тудор,4
Англия,Манчестер Сити,Манчестер,2007,Пеп Гвардиола,87
Италия,Интер,Милан,2014, Симоне Индзаги,36
Италия,Милан,Милан,2019,Сержиу Консейсан,3
Италия,Ювентус,Турин,2014,Игор Тудор,35
Англия,Арсенал,Лондон,2011,Микель Артета,30
Испания,Реал Мадрид,Мадрид,2023,Карло Анчелотти,48
Россия,Спартак,Москва,2004,Деян Станкович,20
Испания,Атлетико,Мадрид,2016,Диего Симеоне,1
Испания,Реал Мадрид,Мадрид,2010,Карло Анчелотти,34
Англия,Манчестер Сити,Манчестер,2005,Пеп Гвардиола,60
Англия,Манчестер Сити,Манчестер,2008,Пеп Гвардиола,65
Россия,Зенит,Санкт-Петербург,2004,Семак Сергей Богданович,48
Италия,Ювентус,Турин,2015,Игор Тудор,93
Англия,Арсенал,Лондон,2023,Микель Артета,86
Германия,Боруссия,Дортмунд,2013,Нико Ковач,56
Италия,Ювентус,Турин,2008,Игор Тудор,80
Германия,Лейпциг,Лейпциг,2006,Жолт Лев,34
Россия,Зенит,Санкт-Петербург,2018,Семак Сергей Богданович,24
Испания,Барселона,Барселона,2012,Ханс‑Дитер Флик,30
Германия,Бавария,Мюнхен,2007,Венсан Компани,21
Англия,Челси,Лондон,2018,Энцо Мареска,50
Россия,ЦСКА,Москва,2018,Марко Николич,4
Россия,ЦСКА,Москва,2023,Марко Николич,72
Италия,Ювентус,Турин,2012,Игор Тудор,92
Италия,Милан,Милан,2020,Сержиу Консейсан,15
Россия,ЦСКА,Москва,2023,Марко Николич,63
Германия,Лейпциг,Лейпциг,2019,Жолт Лев,75
Россия,Зенит,Санкт-Петербург,2023,Семак Сергей Богданович,5
Италия,Интер,Милан,2018, Симоне Индзаги,51
Англия,Арсенал,Лондон,2016,Микель Артета,40
Испания,Атлетико,Мадрид,2002,Диего Симеоне,98
Россия,Спартак,Москва,2004,Деян Станкович,13
Италия,Интер,Милан,2004, Симоне Индзаги,15
Англия,Манчестер Сити,Манчестер,2011,Пеп Гвардиола,48
Германия,Боруссия,Дортмунд,2003,Нико Ковач,89
Испания,Атлетико,Мадрид,2013,Диего Симеоне,39
Россия,ЦСКА,Москва,2010,Марко Николич,68
Англия,Манчестер Сити,Манчестер,2002,Пеп Гвардиола,62
Италия,Ювентус,Турин,2016,Игор Тудор,28
Испания,Атлетико,Мадрид,2024,Диего Симеоне,71
Англия,Челси,Лондон,2010,Энцо Мареска,65
Италия,Интер,Милан,2020, Симоне Индзаги,19
Испания,Барселона,Барселона,2024,Ханс‑Дитер Флик,62
Россия,ЦСКА,Москва,2015,Марко Николич,87
Италия,Милан,Милан,2017,Сержиу Консейсан,38
Россия,ЦСКА,Москва,2005,Марко Николич,61
Россия,Зенит,Санкт-Петербург,2007,Семак Сергей Богданович,2
Германия,Бавария,Мюнхен,2004,Венсан Компани,53
Германия,Боруссия,Дортмунд,2005,Нико Ковач,62
Германия,Бавария,Мюнхен,2002,Венсан Компани,64
Германия,Бавария,Мюнхен,2001,Венсан Компани,76
Англия,Челси,Лондон,2011,Энцо Мареска,79
Англия,Манчестер Сити,Манчестер,2018,Пеп Гвардиола,42
Германия,Бавария,Мюнхен,2004,Венсан Компани,3
Россия,ЦСКА,Москва,2022,Марко Николич,99
Италия,Ювентус,Турин,2015,Игор Тудор,23
Испания,Барселона,Барселона,2008,Ханс‑Дитер Флик,57
Германия,Боруссия,Дортмунд,2024,Нико Ковач,66
Россия,Зенит,Санкт-Петербург,2025,Семак Сергей Богданович,68
Англия,Манчестер Сити,Манчестер,2023,Пеп Гвардиола,53
Италия,Ювентус,Турин,2016,Игор Тудор,95
Италия,Ювентус,Турин,2008,Игор Тудор,58
Испания,Барселона,Барселона,2002,Ханс‑Дитер Флик,64
Германия,Бавария,Мюнхен,2021,Венсан Компани,15
Англия,Манчестер Сити,Манчестер,2009,Пеп Гвардиола,68
Англия,Манчестер Сити,Манчестер,2018,Пеп Гвардиола,21
Россия,ЦСКА,Москва,2001,Марко Николич,56
Англия,Челси,Лондон,2013,Энцо Мареска,94
Германия,Боруссия,Дортмунд,2001,Нико Ковач,40
Германия,Боруссия,Дортмунд,2006,Нико Ковач,3
Англия,Челси,Лондон,2009,Энцо Мареска,29
Россия,Зенит,Санкт-Петербург,2002,Семак Сергей Богданович,9
Англия,Арсенал,Лондон,2018,Микель Артета,23
Россия,Зенит,Санкт-Петербург,2015,Семак Сергей Богданович,55
Испания,Барселона,Барселона,2020,Ханс‑Дитер Флик,13
Россия,ЦСКА,Москва,2004,Марко Николич,11
Англия,Челси,Лондон,2004,Энцо Мареска,68
Россия,Зенит,Санкт-Петербург,2014,Семак Сергей Богданович,66
Италия,Милан,Милан,2023,Сержиу Консейсан,86
Италия,Милан,Милан,2002,Сержиу Консейсан,13
Россия,Спартак,Москва,2006,Деян Станкович,18
Испания,Атлетико,Мадрид,2024,Диего Симеоне,89
Испания,Барселона,Барселона,2001,Ханс‑Дитер Флик,95
Англия,Челси,Лондон,2007,Энцо Мареска,47
Италия,Милан,Милан,2011,Сержиу Консейсан,43
Германия,Бавария,Мюнхен,2012,Венсан Компани,52
Италия,Интер,Милан,2022, Симоне Индзаги,21
Германия,Боруссия,Дортмунд,2024,Нико Ковач,40
Англия,Манчестер Сити,Манчестер,2002,Пеп Гвардиола,67
Испания,Реал Мадрид,Мадрид,2020,Карло Анчелотти,68
Англия,Челси,Лондон,2001,Энцо Мареска,4
Италия,Интер,Милан,2010, Симоне Индзаги,26
Англия,Арсенал,Лондон,2006,Микель Артета,100
Испания,Реал Мадрид,Мадрид,2018,Карло Анчелотти,93
Россия,ЦСКА,Москва,2007,Марко Николич,65
Англия,Челси,Лондон,2002,Энцо Мареска,6
Германия,Боруссия,Дортмунд,2021,Нико Ковач,92
Италия,Интер,Милан,2020, Симоне Индзаги,84
Англия,Манчестер Сити,Манчестер,2004,Пеп Гвардиола,31
Германия,Бавария,Мюнхен,2000,Венсан Компани,68
Россия,Зенит,Санкт-Петербург,2017,Семак Сергей Богданович,66
Испания,Атлетико,Мадрид,2006,Диего Симеоне,70
Англия,Манчестер Сити,Манчестер,2023,Пеп Гвардиола,93
Россия,ЦСКА,Москва,2013,Марко Николич,44
Россия,ЦСКА,Москва,2022,Марко Николич,91
Англия,Манчестер Сити,Манчестер,2008,Пеп Гвардиола,36
Италия,Милан,Милан,2019,Сержиу Консейсан,4
Испания,Реал Мадрид,Мадрид,2019,Карло Анчелотти,51
Россия,ЦСКА,Москва,2019,Марко Николич,3
Италия,Интер,Милан,2017, Симоне Индзаги,53
Испания,Реал Мадрид,Мадрид,2002,Карло Анчелотти,28
Россия,Спартак,Москва,2011,Деян Станкович,12
Германия,Боруссия,Дортмунд,2014,Нико Ковач,89
Италия,Интер,Милан,2024, Симоне Индзаги,15
Германия,Бавария,Мюнхен,2005,Венсан Компани,36
Германия,Лейпциг,Лейпциг,2006,Жолт Лев,32
Англия,Арсенал,Лондон,2006,Микель Артета,37
Россия,Зенит,Санкт-Петербург,2008,Семак Сергей Богданович,55
Россия,Зенит,Санкт-Петербург,2001,Семак Сергей Богданович,66
Италия,Интер,Милан,2004, Симоне Индзаги,62
Англия,Челси,Лондон,2013,Энцо Мареска,7
Испания,Барселона,Барселона,2014,Ханс‑Дитер Флик,25
Англия,Манчестер Сити,Манчестер,2007,Пеп Гвардиола,86
Россия,Зенит,Санкт-Петербург,2007,Семак Сергей Богданович,42
Испания,Реал Мадрид,Мадрид,2015,Карло Анчелотти,15
Италия,Ювентус,Турин,2020,Игор Тудор,93
Россия,Зенит,Санкт-Петербург,2011,Семак Сергей Богданович,85
Италия,Ювентус,Турин,2019,Игор Тудор,45
Испания,Реал Мадрид,Мадрид,2024,Карло Анчелотти,14
Германия,Лейпциг,Лейпциг,2006,Жолт Лев,31
Германия,Бавария,Мюнхен,2001,Венсан Компани,29
Англия,Манчестер Сити,Манчестер,2018,Пеп Гвардиола,13
Германия,Боруссия,Дортмунд,2024,Нико Ковач,49
Италия,Ювентус,Турин,2005,Игор Тудор,56
Испания,Барселона,Барселона,2022,Ханс‑Дитер Флик,91
Италия,Ювентус,Турин,2023,Игор Тудор,46
Англия,Арсенал,Лондон,2019,Микель Артета,37
Россия,Зенит,Санкт-Петербург,2020,Семак Сергей Богданович,70
Испания,Реал Мадрид,Мадрид,2011,Карло Анчелотти,61
Италия,Ювентус,Турин,2010,Игор Тудор,69
Италия,Милан,Милан,2011,Сержиу Консейсан,54
Англия,Манчестер Сити,Манчестер,2011,Пеп Гвардиола,2
Италия,Интер,Милан,2008, Симоне Индзаги,56
Англия,Челси,Лондон,2000,Энцо Мареска,9
Испания,Реал Мадрид,Мадрид,2000,Карло Анчелотти,91
Италия,Интер,Милан,2022, Симоне Индзаги,8
Германия,Бавария,Мюнхен,2011,Венсан Компани,24
Испания,Барселона,Барселона,2000,Ханс‑Дитер Флик,3
Россия,ЦСКА,Москва,2016,Марко Николич,36
Испания,Реал Мадрид,Мадрид,2000,Карло Анчелотти,17
Италия,Ювентус,Турин,2009,Игор Тудор,31
Англия,Челси,Лондон,2003,Энцо Мареска,40
Испания,Барселона,Барселона,2010,Ханс‑Дитер Флик,61
Германия,Бавария,Мюнхен,2013,Венсан Компани,16
Испания,Атлетико,Мадрид,2015,Диего Симеоне,50
Италия,Интер,Милан,2010, Симоне Индзаги,42
Россия,Спартак,Москва,2015,Деян Станкович,21
Россия,Зенит,Санкт-Петербург,2014,Семак Сергей Богданович,48
Германия,Боруссия,Дортмунд,2017,Нико Ковач,20
Италия,Ювентус,Турин,2012,Игор Тудор,42
